Entity Name,Entity ID,Entity Type,Research Destination Test,Independent Knowledge Test,Relationship Convergence,Long-Term Significance,Better Parent Assessment,Entity Worthiness Score,Recommended Knowledge Role,Supporting Evidence,Justification,Final Recommendation,Human Decision
Context is required to interpret released UAP videos,claim-context-is-required-to-interpret-released-uap-videos,claim,fail,borderline,fail,fail,yes,24,Contextual Metadata,1 inbound; 1 outbound; 1 related entities; 1 references,"Context is required to interpret released UAP videos scores 24/100. only 1 neighboring entities and 2 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #117 — Federal UFO Files, Public Expectations, and Sleeping Dog.",Recommend reduced destination prominence,pending
Continued pressure from lawmakers is necessary for meaningful transparency.,claim-weaponized-40-4,claim,fail,fail,fail,fail,yes,12,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,Continued pressure from lawmakers is necessary for meaningful transparency. scores 12/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #40 — Tim Burchett — The SCIF Briefing and Congressional UFO Oversight.,Recommend reduced destination prominence,pending
"Continued study of the Nimitz case benefits from comparing testimony across pilots, radar operators, and other carrier-group personnel.",claim-need-to-know-17-4,claim,fail,fail,fail,fail,yes,5,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 2 references,"Continued study of the Nimitz case benefits from comparing testimony across pilots, radar operators, and other carrier-group personnel. scores 5/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath Need to Know Episode #17 — Beyond Nimitz.",Recommend reduced destination prominence,pending
Corbell alleged that the Congressional Record version of the Immaculate Constellation report included a falsified twelfth page,claim-immaculate-constellation-record-contained-falsified-page,claim,fail,borderline,fail,fail,yes,19,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,Corbell alleged that the Congressional Record version of the Immaculate Constellation report included a falsified twelfth page scores 19/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #65 — UFO Revolution Premiere Q&A.,Recommend reduced destination prominence,pending
Corbell alleged that the Immaculate Constellation submission was misattributed to Michael Shellenberger,claim-immaculate-constellation-submission-misattributed,claim,fail,borderline,fail,fail,yes,20,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,Corbell alleged that the Immaculate Constellation submission was misattributed to Michael Shellenberger scores 20/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #65 — UFO Revolution Premiere Q&A.,Recommend reduced destination prominence,pending
Corbell and Knapp challenged that historical explanation.,claim-hosts-challenged-kirkpatrick-account,claim,fail,borderline,fail,fail,yes,23,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"Corbell and Knapp challenged that historical explanation. scores 23/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #78 — Sean Kirkpatrick, AARO, and UFO Politics.",Recommend reduced destination prominence,pending
Corbell and Knapp compare the presented object with the previously published Mosul Orb imagery.,claim-weaponized-14-3,claim,fail,fail,fail,fail,yes,12,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,Corbell and Knapp compare the presented object with the previously published Mosul Orb imagery. scores 12/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #14 — AARO Testifies to the Senate — Sean Kirkpatrick and the Middle East UAP.,Recommend reduced destination prominence,pending
Corso alleged that material from Roswell was transferred into military and commercial research channels.,claim-corso-alleged-technology-transfer,claim,fail,borderline,fail,fail,yes,23,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 2 references,Corso alleged that material from Roswell was transferred into military and commercial research channels. scores 23/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #87 — Alien Bodies and Technology — The Lost Tapes of UFO Whistleblower Col. Corso.,Recommend reduced destination prominence,pending
Coulthart’s reporting journey is described as moving from skepticism toward the view that the UAP issue warrants serious investigation.,claim-need-to-know-8-3,claim,fail,fail,fail,fail,yes,5,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 2 references,Coulthart’s reporting journey is described as moving from skepticism toward the view that the UAP issue warrants serious investigation. scores 5/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath Need to Know Episode #8 — In Plain Sight.,Recommend reduced destination prominence,pending
Critiques of the Syria UAP footage do not fully resolve the case,claim-critiques-of-the-syria-uap-footage-do-not-fully-resolve-the-case,claim,fail,borderline,fail,fail,yes,19,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"Critiques of the Syria UAP footage do not fully resolve the case scores 19/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #109 — Bob Lazar in Austin, Syria UAP Debate, and Area 51 Access.",Recommend reduced destination prominence,pending
Current UAP legislation faces significant political and institutional pressure.,claim-weaponized-35-3,claim,fail,fail,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"Current UAP legislation faces significant political and institutional pressure. scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #35 — UFO History, Gulf of Mexico Objects, and Congressional Stakes.",Recommend reduced destination prominence,pending
Curt Jaimungal presents firsthand or professional experience relevant to the episode’s central subject.,claim-merged-7-1,claim,fail,borderline,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"Curt Jaimungal presents firsthand or professional experience relevant to the episode’s central subject. scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath MERGED Episode #7 — Exploring Theories of UAP, Consciousness, and Physics.",Recommend reduced destination prominence,pending
Dave Foley describes a longstanding personal interest in the UFO mystery.,claim-weaponized-15-1,claim,fail,fail,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"Dave Foley describes a longstanding personal interest in the UFO mystery. scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #15 — Dave Foley — Comedy, UFO Curiosity, and a Southern California Encounter.",Recommend reduced destination prominence,pending
Dave Foley says a personal UFO sighting changed his view of the phenomenon.,claim-foley-sighting-changed-view,claim,fail,borderline,fail,fail,yes,21,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 2 references,Dave Foley says a personal UFO sighting changed his view of the phenomenon. scores 21/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #83 — Storming the Silence — Dave Foley and the Fight for UAP Transparency.,Recommend reduced destination prominence,pending
David Adair Area 51 Engine Claim,claim-area-51-alien-engine,claim,fail,borderline,borderline,fail,no,28,Contextual Metadata,2 inbound; 4 outbound; 4 related entities; 0 references,David Adair Area 51 Engine Claim scores 28/100. only 4 neighboring entities and 5 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Recommend reduced destination prominence,pending
David Fravor presents firsthand or professional experience relevant to the episode’s central subject.,claim-merged-11-1,claim,fail,borderline,fail,fail,yes,19,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 2 references,David Fravor presents firsthand or professional experience relevant to the episode’s central subject. scores 19/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath MERGED Episode #11 — Beyond the Stigma: A UAP Call to Action.,Recommend reduced destination prominence,pending
David Fravor provided details about the Tic Tac encounter described as not previously public,claim-fravor-added-new-nimitz-details,claim,fail,borderline,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,David Fravor provided details about the Tic Tac encounter described as not previously public scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #61 — The Tic Tac at Twenty.,Recommend reduced destination prominence,pending
David Fravor states that the Tic Tac displayed performance beyond known aircraft,claim-nimitz-tic-tac-performance,claim,fail,pass,fail,fail,no,27,Contextual Metadata,1 inbound; 2 outbound; 3 related entities; 0 references,David Fravor states that the Tic Tac displayed performance beyond known aircraft scores 27/100. only 3 neighboring entities and 3 relationship types currently converge here; the entity has enough descriptive and sourced material to support standalone research; its long-term significance is not yet strongly demonstrated.,Recommend reduced destination prominence,pending
David Fravor was directed to intercept one object later widely known as the Tic Tac UAP.,claim-weaponized-29-2,claim,fail,fail,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,David Fravor was directed to intercept one object later widely known as the Tic Tac UAP. scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #29 — David Fravor and the Nimitz Tic Tac Encounter.,Recommend reduced destination prominence,pending
David Grusch alleges he experienced retaliation connected to his UAP disclosures,claim-whistleblower-retaliation,claim,borderline,pass,pass,fail,no,50,Supporting Entity,8 inbound; 7 outbound; 11 related entities; 0 references,David Grusch alleges he experienced retaliation connected to his UAP disclosures scores 50/100. 11 meaningful neighboring entities and 8 relationship types converge here; the entity has enough descriptive and sourced material to support standalone research; its long-term significance is not yet strongly demonstrated.,Human review required,pending
David Grusch alleges that secret UAP programs were withheld from congressional oversight,claim-secret-uap-programs,claim,borderline,pass,pass,borderline,no,57,Supporting Entity,9 inbound; 5 outbound; 13 related entities; 2 references,David Grusch alleges that secret UAP programs were withheld from congressional oversight scores 57/100. 13 meaningful neighboring entities and 8 relationship types converge here; the entity has enough descriptive and sourced material to support standalone research; its long-term significance is not yet strongly demonstrated.,Human review required,pending
David Grusch alleges that the United States has operated a crash-retrieval program,claim-crash-retrieval-program,claim,borderline,pass,pass,fail,no,48,Contextual Metadata,10 inbound; 5 outbound; 12 related entities; 0 references,David Grusch alleges that the United States has operated a crash-retrieval program scores 48/100. 12 meaningful neighboring entities and 8 relationship types converge here; the entity has enough descriptive and sourced material to support standalone research; its long-term significance is not yet strongly demonstrated.,Recommend reduced destination prominence,pending
David Grusch said he interviewed more than forty people with claimed firsthand knowledge of hidden UAP programs.,claim-weaponized-30-1,claim,fail,fail,fail,fail,yes,19,Contextual Metadata,1 inbound; 1 outbound; 2 related entities; 1 references,"David Grusch said he interviewed more than forty people with claimed firsthand knowledge of hidden UAP programs. scores 19/100. only 2 neighboring entities and 2 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #30 — David Grusch, Whistleblower Retaliation, and the Attempt to Discredit His Testimony.",Recommend reduced destination prominence,pending
David Grusch was described as helping connect expert witnesses with lawmakers.,claim-grusch-assisted-expert-briefings,claim,fail,borderline,fail,fail,yes,23,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"David Grusch was described as helping connect expert witnesses with lawmakers. scores 23/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #77 — UAP Briefings, Immaculate Constellation, and the Jellyfish Debate.",Recommend reduced destination prominence,pending
David Grusch’s interview restored mainstream attention,claim-grusch-interview-restored-mainstream-attention,claim,fail,borderline,fail,fail,yes,15,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,David Grusch’s interview restored mainstream attention scores 15/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #99 — Is This a Pivotal Moment for UFO Disclosure?.,Recommend reduced destination prominence,pending
Defense-industry interests may influence opposition to congressional UAP inquiries.,claim-weaponized-34-2,claim,fail,fail,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,Defense-industry interests may influence opposition to congressional UAP inquiries. scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #34 — The Pushback Against UFO Transparency.,Recommend reduced destination prominence,pending
Direct audience conversations can surface practical questions that formal interviews and news reports may overlook.,claim-need-to-know-19-1,claim,fail,fail,fail,fail,yes,1,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 2 references,Direct audience conversations can surface practical questions that formal interviews and news reports may overlook. scores 1/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath Need to Know Episode #19 — Virtual Beers.,Recommend reduced destination prominence,pending
Disclosure momentum has slowed,claim-disclosure-momentum-has-slowed,claim,fail,borderline,fail,fail,yes,18,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,Disclosure momentum has slowed scores 18/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #94 — Is UFO Disclosure Dead?.,Recommend reduced destination prominence,pending
Disclosure of information about his prior PTSD treatment was portrayed as an attempt to damage his credibility.,claim-weaponized-30-3,claim,fail,fail,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"Disclosure of information about his prior PTSD treatment was portrayed as an attempt to damage his credibility. scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #30 — David Grusch, Whistleblower Retaliation, and the Attempt to Discredit His Testimony.",Recommend reduced destination prominence,pending
Disinformation and cultural stigma continue to shape the public UAP debate.,claim-disinformation-shapes-public-debate,claim,fail,borderline,fail,fail,yes,21,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 2 references,Disinformation and cultural stigma continue to shape the public UAP debate. scores 21/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #85 — Weaponized Silence — The UFO Disclosure Dilemma.,Recommend reduced destination prominence,pending
Documentary reconstruction can preserve witness accounts and technical context that are otherwise fragmented across interviews and reports.,claim-need-to-know-17-2,claim,fail,fail,fail,fail,yes,5,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 2 references,Documentary reconstruction can preserve witness accounts and technical context that are otherwise fragmented across interviews and reports. scores 5/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath Need to Know Episode #17 — Beyond Nimitz.,Recommend reduced destination prominence,pending
Dozens of Marines reportedly observed a large triangular object over Twentynine Palms in April 2021.,claim-weaponized-18-1,claim,fail,fail,fail,fail,yes,12,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,Dozens of Marines reportedly observed a large triangular object over Twentynine Palms in April 2021. scores 12/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #18 — The Mojave Triangle UAP — Marine Witnesses at Twentynine Palms.,Recommend reduced destination prominence,pending
Early Air Force decisions helped shape later official UFO policy and the public transparency debate.,claim-need-to-know-15-4,claim,fail,fail,fail,fail,yes,5,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 2 references,Early Air Force decisions helped shape later official UFO policy and the public transparency debate. scores 5/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath Need to Know Episode #15 — Estimate of the Situation.,Recommend reduced destination prominence,pending
Early UFO investigators established investigative practices that continue to influence modern UAP research.,claim-need-to-know-9-1,claim,fail,fail,fail,fail,yes,5,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 2 references,Early UFO investigators established investigative practices that continue to influence modern UAP research. scores 5/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath Need to Know Episode #9 — Classic UFO Investigators.,Recommend reduced destination prominence,pending
"Effective hearings require informed questioning, access to records, and witnesses able to address program history and current cases.",claim-need-to-know-12-2,claim,fail,fail,fail,fail,yes,1,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 2 references,"Effective hearings require informed questioning, access to records, and witnesses able to address program history and current cases. scores 1/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath Need to Know Episode #12 — Congressional UFO Hearings.",Recommend reduced destination prominence,pending
Efforts to obtain alleged video evidence encountered interference,claim-efforts-to-obtain-alleged-video-evidence-encountered-interference,claim,fail,borderline,fail,fail,yes,18,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,Efforts to obtain alleged video evidence encountered interference scores 18/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #105 — James Fox — New Varginha Witnesses and the Continuing Cover-Up.,Recommend reduced destination prominence,pending
Emery Smith Alien-Autopsy Program Claims,claim-alien-autopsy-program,claim,fail,borderline,fail,fail,no,20,Contextual Metadata,1 inbound; 2 outbound; 2 related entities; 0 references,Emery Smith Alien-Autopsy Program Claims scores 20/100. only 2 neighboring entities and 3 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Recommend reduced destination prominence,pending
Entertainment figures can influence public engagement with UAP even when they are not traditional investigators.,claim-need-to-know-11-3,claim,fail,fail,fail,fail,yes,5,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 2 references,Entertainment figures can influence public engagement with UAP even when they are not traditional investigators. scores 5/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath Need to Know Episode #11 — UFOs and Rock Stars.,Recommend reduced destination prominence,pending
Episode 1 uses a ranked year-in-review format to identify the developments the hosts considered most consequential in 2021.,claim-need-to-know-1-2,claim,fail,fail,fail,fail,yes,1,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 2 references,Episode 1 uses a ranked year-in-review format to identify the developments the hosts considered most consequential in 2021. scores 1/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath Need to Know Episode #1 — 2021 Top Ten.,Recommend reduced destination prominence,pending
Episode guests described how they prepared for testimony and reacted afterward.,claim-witnesses-described-preparation-and-aftermath,claim,fail,borderline,fail,fail,yes,18,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 2 references,Episode guests described how they prepared for testimony and reacted afterward. scores 18/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #89 — The 2025 UAP Hearing — Did It Move the Needle?.,Recommend reduced destination prominence,pending
Eric Hecker South Pole Technology Claims,claim-south-pole-directed-energy,claim,fail,borderline,pass,fail,no,39,Contextual Metadata,4 inbound; 5 outbound; 5 related entities; 0 references,Eric Hecker South Pole Technology Claims scores 39/100. 5 meaningful neighboring entities and 8 relationship types converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Recommend reduced destination prominence,pending
Ernie Cline and Dan Cleary shared observations from Contact in the Desert.,claim-contact-in-desert-observations,claim,fail,borderline,fail,fail,yes,23,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"Ernie Cline and Dan Cleary shared observations from Contact in the Desert. scores 23/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #78 — Sean Kirkpatrick, AARO, and UFO Politics.",Recommend reduced destination prominence,pending
Expected closed-door congressional UAP briefings did not materialize as anticipated.,claim-planned-scif-briefings-did-not-materialize,claim,fail,borderline,fail,fail,yes,22,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 2 references,"Expected closed-door congressional UAP briefings did not materialize as anticipated. scores 22/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #86 — Threats, Intimidation, Prosecution — The Daunting Risks for UFO Whistleblowers.",Recommend reduced destination prominence,pending
Experienced pilots can provide valuable observational evidence,claim-experienced-pilots-can-provide-valuable-observational-evidence,claim,fail,borderline,fail,fail,yes,19,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,Experienced pilots can provide valuable observational evidence scores 19/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #106 — Ryan “Neo” Bodenheimer — Four Pilot UAP Encounters.,Recommend reduced destination prominence,pending
Factional conflict and personal attacks can distract from substantive UAP research.,claim-need-to-know-13-1,claim,fail,fail,fail,fail,yes,5,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 2 references,Factional conflict and personal attacks can distract from substantive UAP research. scores 5/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath Need to Know Episode #13 — Bryce’s Rant.,Recommend reduced destination prominence,pending
Factory-farming systems can impose severe and prolonged suffering on large numbers of animals.,claim-weaponized-31-1,claim,fail,fail,fail,fail,yes,12,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"Factory-farming systems can impose severe and prolonged suffering on large numbers of animals. scores 12/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #31 — Wayne Pacelle — Factory Farming, Animal Welfare, and Corporate Power.",Recommend reduced destination prominence,pending
Fear of professional consequences continues to deter potential UAP whistleblowers,claim-whistleblower-fear-continues-to-limit-disclosure,claim,fail,fail,fail,fail,yes,18,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"Fear of professional consequences continues to deter potential UAP whistleblowers scores 18/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #69 — John Mack, Ariel School, and Reporting the Unreportable.",Recommend reduced destination prominence,pending
Foley recounts attending the Storm Area 51 gathering in Nevada.,claim-weaponized-15-3,claim,fail,fail,fail,fail,yes,12,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"Foley recounts attending the Storm Area 51 gathering in Nevada. scores 12/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #15 — Dave Foley — Comedy, UFO Curiosity, and a Southern California Encounter.",Recommend reduced destination prominence,pending
Foley reports an unexpected and dramatic UFO encounter in Southern California.,claim-weaponized-15-4,claim,fail,fail,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"Foley reports an unexpected and dramatic UFO encounter in Southern California. scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #15 — Dave Foley — Comedy, UFO Curiosity, and a Southern California Encounter.",Recommend reduced destination prominence,pending
Foley says he encouraged Joe Rogan to reconsider the UFO subject with fresh attention.,claim-weaponized-15-2,claim,fail,fail,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"Foley says he encouraged Joe Rogan to reconsider the UFO subject with fresh attention. scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #15 — Dave Foley — Comedy, UFO Curiosity, and a Southern California Encounter.",Recommend reduced destination prominence,pending
Fravor’s public testimony became a major catalyst for renewed UAP reporting and disclosure demands.,claim-weaponized-29-4,claim,fail,fail,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,Fravor’s public testimony became a major catalyst for renewed UAP reporting and disclosure demands. scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #29 — David Fravor and the Nimitz Tic Tac Encounter.,Recommend reduced destination prominence,pending
George Knapp interviewed Russian military officials and scientists after the collapse of the Soviet Union.,claim-weaponized-13-2,claim,fail,fail,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,George Knapp interviewed Russian military officials and scientists after the collapse of the Soviet Union. scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #13 — The Russian UFO Files — Military and Scientific Investigations.,Recommend reduced destination prominence,pending
George Knapp recorded interviews with Russian scientists who had not previously discussed their work on camera.,claim-weaponized-16-4,claim,fail,fail,fail,fail,yes,12,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,George Knapp recorded interviews with Russian scientists who had not previously discussed their work on camera. scores 12/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #16 — Secret Soviet UFO Science — Researchers Behind the Iron Curtain.,Recommend reduced destination prominence,pending
Government secrecy and limited data access make reform difficult because researchers cannot independently evaluate many official claims.,claim-need-to-know-21-4,claim,fail,fail,fail,fail,yes,5,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 2 references,Government secrecy and limited data access make reform difficult because researchers cannot independently evaluate many official claims. scores 5/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath Need to Know Episode #21 — UFOlogy Must Die?.,Recommend reduced destination prominence,pending
Government-held sensor records may contain stronger evidence than public releases,claim-government-held-sensor-records-may-contain-stronger-evidence-than-public-release,claim,fail,borderline,fail,fail,yes,18,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,Government-held sensor records may contain stronger evidence than public releases scores 18/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #108 — Syria UAP Video — Apparent Instantaneous Acceleration.,Recommend reduced destination prominence,pending
