Entity Name,Entity ID,Entity Type,Curator-Approved Entity Type,Destination Eligibility,Destination Tier,Navigation Prominence,Entity-Type Baseline,Entity Worthiness Score,Entity-Type Percentile,Research Value Narrative,Supporting Evidence,Justification,Human Recommendation,Human Decision
AARO’s performance should be measured against the investigative mandate established by Congress.,claim-weaponized-33-3,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,29,51.5,"AARO’s performance should be measured against the investigative mandate established by Congress. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 29/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"AARO’s performance should be measured against the investigative mandate established by Congress. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 29/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
AARO’s public report did not satisfy demands for substantive transparency or evidence.,claim-weaponized-39-1,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,29,51.7,"AARO’s public report did not satisfy demands for substantive transparency or evidence. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 29/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"AARO’s public report did not satisfy demands for substantive transparency or evidence. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 29/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
AAWSAP assembled one of the largest government-supported databases of UFO cases and incidents.,claim-weaponized-38-1,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,29,51.8,"AAWSAP assembled one of the largest government-supported databases of UFO cases and incidents. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 29/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"AAWSAP assembled one of the largest government-supported databases of UFO cases and incidents. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 29/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
AAWSAP built a large UFO data warehouse,claim-aawsap-built-a-large-ufo-data-warehouse,claim,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,claim,36,90.0,"AAWSAP built a large UFO data warehouse is evaluated against the claim baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 36/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 1 outbound; 1 related entities; 1 references,"AAWSAP built a large UFO data warehouse is evaluated against the claim baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 36/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
AAWSAP employed approximately fifty full-time staff and investigators during the DIA-funded program.,claim-weaponized-12-1,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,25,35.7,"AAWSAP employed approximately fifty full-time staff and investigators during the DIA-funded program. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 25/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"AAWSAP employed approximately fifty full-time staff and investigators during the DIA-funded program. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 25/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
AAWSAP examined physics and engineering questions associated with reported UFO behavior.,claim-weaponized-38-3,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,29,51.9,"AAWSAP examined physics and engineering questions associated with reported UFO behavior. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 29/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"AAWSAP examined physics and engineering questions associated with reported UFO behavior. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 29/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
AAWSAP investigators reported hitchhiker effects,claim-aawsap-investigators-reported-hitchhiker-effects,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,31,65.2,"AAWSAP investigators reported hitchhiker effects is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 31/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"AAWSAP investigators reported hitchhiker effects is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 31/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
AAWSAP records contain substantial findings,claim-aawsap-records-contain-substantial-findings,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,27,44.3,"AAWSAP records contain substantial findings is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 27/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"AAWSAP records contain substantial findings is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 27/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
AAWSAP represented a major government-funded effort to investigate UFO/UAP reports and associated effects.,claim-weaponized-5-3,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,28,46.6,"AAWSAP represented a major government-funded effort to investigate UFO/UAP reports and associated effects. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 28/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"AAWSAP represented a major government-funded effort to investigate UFO/UAP reports and associated effects. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 28/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Abby White presents firsthand or professional experience relevant to the episode’s central subject.,claim-merged-6-1,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,31,65.4,"Abby White presents firsthand or professional experience relevant to the episode’s central subject. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 31/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 2 references,"Abby White presents firsthand or professional experience relevant to the episode’s central subject. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 31/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Adam Frank presents firsthand or professional experience relevant to the episode’s central subject.,claim-merged-18-1,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,27,44.5,"Adam Frank presents firsthand or professional experience relevant to the episode’s central subject. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 27/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"Adam Frank presents firsthand or professional experience relevant to the episode’s central subject. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 27/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Additional Eglin triangle details were reported,claim-eglin-triangle-details-expanded,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,28,46.7,"Additional Eglin triangle details were reported is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 28/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"Additional Eglin triangle details were reported is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 28/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Additional witness testimony led Corbell and Knapp to keep the incident classified as an active investigation.,claim-weaponized-19-4,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,29,52.1,"Additional witness testimony led Corbell and Knapp to keep the incident classified as an active investigation. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 29/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"Additional witness testimony led Corbell and Knapp to keep the incident classified as an active investigation. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 29/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Air Force analysts were described as having assessed the Baghdad Phantom as a genuine UAP.,claim-weaponized-8-1,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,28,46.9,"Air Force analysts were described as having assessed the Baghdad Phantom as a genuine UAP. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 28/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"Air Force analysts were described as having assessed the Baghdad Phantom as a genuine UAP. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 28/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Alex Dietrich presents firsthand or professional experience relevant to the episode’s central subject.,claim-merged-14-1,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,31,65.5,"Alex Dietrich presents firsthand or professional experience relevant to the episode’s central subject. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 31/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 2 references,"Alex Dietrich presents firsthand or professional experience relevant to the episode’s central subject. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 31/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Alex Wiggins reported seeing a glowing Tic Tac-shaped object emerge from the ocean.,claim-alex-wiggins-reported-ocean-emergence,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,34,80.2,"Alex Wiggins reported seeing a glowing Tic Tac-shaped object emerge from the ocean. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 34/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"Alex Wiggins reported seeing a glowing Tic Tac-shaped object emerge from the ocean. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 34/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Alleged 2012 Langley Triangle Encounter,claim-langley-triangle-2012,claim,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,claim,44,98.7,"Alleged 2012 Langley Triangle Encounter is evaluated against the claim baseline. It has 4 related entities, 6 relationship types, 0 source or official-link references, and a type-weighted score of 44/100. Current evidence does not yet establish sufficient independent destination value.",2 inbound; 4 outbound; 4 related entities; 0 references,"Alleged 2012 Langley Triangle Encounter is evaluated against the claim baseline. It has 4 related entities, 6 relationship types, 0 source or official-link references, and a type-weighted score of 44/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Alleged USS Jackson Transmedium UAP Event,claim-uss-jackson-transmedium-objects,claim,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,claim,49,99.3,"Alleged USS Jackson Transmedium UAP Event is evaluated against the claim baseline. It has 6 related entities, 7 relationship types, 0 source or official-link references, and a type-weighted score of 49/100. Current evidence does not yet establish sufficient independent destination value.",3 inbound; 6 outbound; 6 related entities; 0 references,"Alleged USS Jackson Transmedium UAP Event is evaluated against the claim baseline. It has 6 related entities, 7 relationship types, 0 source or official-link references, and a type-weighted score of 49/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
American secrecy law can complicate effective congressional oversight of alleged UAP programs.,claim-secrecy-law-complicates-oversight,claim,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,claim,35,86.8,"American secrecy law can complicate effective congressional oversight of alleged UAP programs. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 35/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 2 references,"American secrecy law can complicate effective congressional oversight of alleged UAP programs. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 35/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
An allied aircraft reportedly fired an advanced missile at an unidentified object in the Middle East.,claim-weaponized-41-4,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,25,35.8,"An allied aircraft reportedly fired an advanced missile at an unidentified object in the Middle East. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 25/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"An allied aircraft reportedly fired an advanced missile at an unidentified object in the Middle East. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 25/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
An investigator previously entered the restricted Papoose Lake area,claim-an-investigator-previously-entered-the-restricted-papoose-lake-area,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,27,44.6,"An investigator previously entered the restricted Papoose Lake area is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 27/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"An investigator previously entered the restricted Papoose Lake area is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 27/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
An MQ-9 sensor captured an unknown object near the Jordanian-Syrian border,claim-an-mq-9-sensor-captured-an-unknown-object-near-the-jordanian-syrian-border,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,14,0.3,"An MQ-9 sensor captured an unknown object near the Jordanian-Syrian border is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 14/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"An MQ-9 sensor captured an unknown object near the Jordanian-Syrian border is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 14/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
An unknown object crashed near Area 51,claim-object-crashed-near-area-51,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,28,47.0,"An unknown object crashed near Area 51 is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 28/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"An unknown object crashed near Area 51 is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 28/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Andy Mead presents firsthand or professional experience relevant to the episode’s central subject.,claim-merged-15-1,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,31,65.6,"Andy Mead presents firsthand or professional experience relevant to the episode’s central subject. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 31/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 2 references,"Andy Mead presents firsthand or professional experience relevant to the episode’s central subject. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 31/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Artificial intelligence is discussed alongside altered states and philosophical questions.,claim-weaponized-10-2,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,25,36.0,"Artificial intelligence is discussed alongside altered states and philosophical questions. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 25/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"Artificial intelligence is discussed alongside altered states and philosophical questions. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 25/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
At least one reported USS Jackson object appeared to emerge from the ocean,claim-one-uss-jackson-object-reported-emerging-from-ocean,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,29,52.2,"At least one reported USS Jackson object appeared to emerge from the ocean is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 29/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"At least one reported USS Jackson object appeared to emerge from the ocean is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 29/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Authorities had not identified the operator of persistent New Jersey mystery-drone flights,claim-new-jersey-drone-operator-unidentified,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,32,72.8,"Authorities had not identified the operator of persistent New Jersey mystery-drone flights is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 32/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"Authorities had not identified the operator of persistent New Jersey mystery-drone flights is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 32/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Avi Loeb presents firsthand or professional experience relevant to the episode’s central subject.,claim-merged-10-1,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,30,61.1,"Avi Loeb presents firsthand or professional experience relevant to the episode’s central subject. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 30/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 2 references,"Avi Loeb presents firsthand or professional experience relevant to the episode’s central subject. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 30/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
AWACS systems have tracked objects with extraordinary motion,claim-awacs-systems-have-tracked-objects-with-extraordinary-motion,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,27,44.7,"AWACS systems have tracked objects with extraordinary motion is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 27/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"AWACS systems have tracked objects with extraordinary motion is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 27/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Ben Schneider draws creative inspiration from Great Lakes history and regional Indigenous traditions.,claim-weaponized-20-2,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,25,36.1,"Ben Schneider draws creative inspiration from Great Lakes history and regional Indigenous traditions. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 25/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"Ben Schneider draws creative inspiration from Great Lakes history and regional Indigenous traditions. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 25/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Bipartisan legislative interest increased the likelihood that UAP oversight would persist beyond a single news cycle.,claim-need-to-know-18-3,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,21,4.1,"Bipartisan legislative interest increased the likelihood that UAP oversight would persist beyond a single news cycle. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 21/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 2 references,"Bipartisan legislative interest increased the likelihood that UAP oversight would persist beyond a single news cycle. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 21/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Bob Lazar claims he worked at S4 on reverse-engineering an unconventional craft,claim-s4-reverse-engineering,claim,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,claim,53,99.6,"Bob Lazar claims he worked at S4 on reverse-engineering an unconventional craft is evaluated against the claim baseline. It has 9 related entities, 6 relationship types, 0 source or official-link references, and a type-weighted score of 53/100. Current evidence does not yet establish sufficient independent destination value.",7 inbound; 4 outbound; 9 related entities; 0 references,"Bob Lazar claims he worked at S4 on reverse-engineering an unconventional craft is evaluated against the claim baseline. It has 9 related entities, 6 relationship types, 0 source or official-link references, and a type-weighted score of 53/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Bob Lazar claims that Element 115 powered the Sport Model craft,claim-element-115-propulsion,claim,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,claim,43,98.3,"Bob Lazar claims that Element 115 powered the Sport Model craft is evaluated against the claim baseline. It has 5 related entities, 4 relationship types, 0 source or official-link references, and a type-weighted score of 43/100. Current evidence does not yet establish sufficient independent destination value.",4 inbound; 2 outbound; 5 related entities; 0 references,"Bob Lazar claims that Element 115 powered the Sport Model craft is evaluated against the claim baseline. It has 5 related entities, 4 relationship types, 0 source or official-link references, and a type-weighted score of 43/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Bob Lazar claims that nine unconventional craft were stored at S4,claim-s4-nine-craft,claim,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,claim,39,97.1,"Bob Lazar claims that nine unconventional craft were stored at S4 is evaluated against the claim baseline. It has 4 related entities, 4 relationship types, 0 source or official-link references, and a type-weighted score of 39/100. Current evidence does not yet establish sufficient independent destination value.",3 inbound; 2 outbound; 4 related entities; 0 references,"Bob Lazar claims that nine unconventional craft were stored at S4 is evaluated against the claim baseline. It has 4 related entities, 4 relationship types, 0 source or official-link references, and a type-weighted score of 39/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
Bob Lazar made a surprise public appearance at an Austin UAP event,claim-bob-lazar-made-a-surprise-public-appearance-at-an-austin-uap-event,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,30,61.3,"Bob Lazar made a surprise public appearance at an Austin UAP event is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 30/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"Bob Lazar made a surprise public appearance at an Austin UAP event is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 30/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Bodenheimer reports four separate UAP encounters,claim-bodenheimer-reports-four-separate-uap-encounters,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,32,73.0,"Bodenheimer reports four separate UAP encounters is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 32/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 1 references,"Bodenheimer reports four separate UAP encounters is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 1 source or official-link references, and a type-weighted score of 32/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
"Borland alleges surveillance, hacking, and legal threats",claim-borland-alleges-surveillance-hacking-and-legal-threats,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,31,65.8,"Borland alleges surveillance, hacking, and legal threats is evaluated against the claim baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 31/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 1 outbound; 1 related entities; 1 references,"Borland alleges surveillance, hacking, and legal threats is evaluated against the claim baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 31/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Borland alleges that his security clearance was manipulated to restrict his options and silence him.,claim-clearance-allegedly-used-as-leverage,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,31,65.9,"Borland alleges that his security clearance was manipulated to restrict his options and silence him. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 31/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 2 references,"Borland alleges that his security clearance was manipulated to restrict his options and silence him. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 31/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Borland characterizes intimidation and career pressure as mechanisms used to preserve secrecy.,claim-retaliation-described-as-systemic,claim,No,Better represented as supporting knowledge or metadata,Tier 4 — Contextual Metadata,Contextual Discovery,claim,30,61.4,"Borland characterizes intimidation and career pressure as mechanisms used to preserve secrecy. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 30/100. Current evidence does not yet establish sufficient independent destination value.",0 inbound; 1 outbound; 1 related entities; 2 references,"Borland characterizes intimidation and career pressure as mechanisms used to preserve secrecy. is evaluated against the claim baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 30/100. Current evidence does not yet establish sufficient independent destination value.",Review as contextual metadata,pending
Borland describes financial and personal hardship after coming forward,claim-borland-describes-financial-and-personal-hardship-after-coming-forward,claim,No,Better represented as supporting knowledge or metadata,Tier 3 — Supporting Knowledge Object,Contextual Discovery,claim,35,87.0,"Borland describes financial and personal hardship after coming forward is evaluated against the claim baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 35/100. Current evidence does not yet establish sufficient independent destination value.",1 inbound; 1 outbound; 1 related entities; 1 references,"Borland describes financial and personal hardship after coming forward is evaluated against the claim baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 35/100. Current evidence does not yet establish sufficient independent destination value.",Review as supporting knowledge object,pending
